datetime,BALD,IOU,ImUn,NUKO,KEBAB,BALDA,SC,SHIT,HAIR,MUGZ,timeframe
2024-05-27 08:15:00,1.224e-05,0.0006125,5.277e-05,,,,,,,,15min
2024-05-27 08:30:00,1.1861666666666667e-05,0.0006125,5.355e-05,,,,,,,,15min
2024-05-27 08:45:00,1.11e-05,0.0006125,5.6920000000000004e-05,,,,,,,,15min
2024-05-27 09:00:00,1.097e-05,0.0006125,5.873e-05,,,,,,,,15min
2024-05-27 09:15:00,1.097e-05,0.0006043,5.873e-05,,,,,,,,15min
2024-05-27 09:30:00,1.097e-05,0.0006014333333333333,5.863833333333333e-05,,,,,,,,15min
2024-05-27 09:45:00,1.097e-05,0.0005978,5.862e-05,,,,,,,,15min
2024-05-27 10:00:00,1.097e-05,0.00059605,5.862e-05,,,,,,,,15min
2024-05-27 10:15:00,1.102e-05,0.0005902500000000001,6.108e-05,,,,,,,,15min
2024-05-27 10:30:00,1.1033333333333333e-05,0.0005909666666666667,6.192333333333333e-05,,,,,,,,15min
2024-05-27 10:45:00,1.106e-05,0.000594175,6.361e-05,,,,,,,,15min
2024-05-27 11:00:00,1.0920000000000002e-05,0.00059805,6.88e-05,,,,,,,,15min
2024-05-27 11:15:00,1.099e-05,0.00059665,6.88e-05,,,,,,,,15min
2024-05-27 11:30:00,1.1000000000000001e-05,0.0005939666666666667,6.88e-05,,,,,,,,15min
2024-05-27 11:45:00,1.062e-05,0.0005839,6.629e-05,3.2500000000000004e-11,2.846e-05,6.192e-06,1.124e-06,,,,15min
2024-05-27 12:00:00,1.015e-05,0.0005429,6.515e-05,3.35e-11,2.846e-05,6.192e-06,1.238e-06,,,,15min
2024-05-27 12:15:00,1.033e-05,0.0005102,6.515e-05,3.5e-11,2.829e-05,6.192e-06,1.238e-06,,,,15min
2024-05-27 12:30:00,1.034e-05,0.000519,6.515e-05,3.5e-11,2.7195e-05,6.0725e-06,1.264e-06,,,,15min
2024-05-27 12:45:00,1.035e-05,0.0005279,6.515e-05,3.55e-11,2.598e-05,6.084e-06,1.264e-06,,,,15min
2024-05-27 13:00:00,1.035e-05,0.000528,6.515e-05,3.65e-11,2.625e-05,6.255e-06,1.271e-06,,,,15min
2024-05-27 13:15:00,1.035e-05,0.000528,6.515e-05,3.7e-11,2.625e-05,6.415e-06,1.271e-06,,,,15min
2024-05-27 13:30:00,1.035e-05,0.0005291,6.515e-05,3.6e-11,2.6195000000000002e-05,6.2165000000000005e-06,1.271e-06,,,,15min
2024-05-27 13:45:00,1.0255e-05,0.0005200000000000001,6.515e-05,3.35e-11,2.614e-05,6.0505e-06,1.2875e-06,,,,15min
2024-05-27 14:00:00,1.015e-05,0.0005249499999999999,5.734e-05,3.4e-11,2.546e-05,5.977e-06,1.304e-06,,,,15min
2024-05-27 14:15:00,1.014e-05,0.00053635,5.734e-05,3.4e-11,2.56e-05,5.977e-06,1.2795e-06,,,,15min
2024-05-27 14:30:00,1.014e-05,0.00054785,5.734e-05,3.4e-11,2.56e-05,5.977e-06,1.271e-06,,,,15min
2024-05-27 14:45:00,1.022e-05,0.0005497,5.734e-05,3.4e-11,2.628e-05,5.977e-06,1.271e-06,,,,15min
2024-05-27 15:00:00,1.0235e-05,0.00054975,5.734e-05,3.4e-11,2.7175e-05,6.0825e-06,1.569e-06,,,,15min
2024-05-27 15:15:00,1.043e-05,0.00054585,5.7e-05,3.4e-11,2.742e-05,6.1475e-06,1.5759999999999998e-06,,,,15min
2024-05-27 15:30:00,1.045e-05,0.0005418,5.368e-05,3.4e-11,2.745e-05,5.831e-06,1.587e-06,,,,15min
2024-05-27 15:45:00,1.045e-05,0.00054365,5.368e-05,3.4e-11,2.745e-05,5.831e-06,1.587e-06,,,,15min
2024-05-27 16:00:00,1.047e-05,0.000544,5.368e-05,3e-11,2.512e-05,4.423e-06,1.5205e-06,,,,15min
2024-05-27 16:15:00,1.047e-05,0.0005774,3.975e-05,2.5e-11,1.776e-05,3.259e-06,1.454e-06,,,,15min
2024-05-27 16:30:00,1.045e-05,0.0006016999999999999,3.975e-05,2.5e-11,1.9605e-05,3.259e-06,1.454e-06,,,,15min
2024-05-27 16:45:00,1.043e-05,0.000602,3.975e-05,2.5e-11,1.942e-05,3.271e-06,1.503e-06,,,,15min
2024-05-27 17:00:00,1.043e-05,0.0006019,3.975e-05,2.5e-11,1.942e-05,3.2755000000000002e-06,1.545e-06,,,,15min
2024-05-27 17:15:00,1.043e-05,0.00060195,4.0585e-05,2.65e-11,1.946e-05,3.28e-06,1.545e-06,,,,15min
2024-05-27 17:30:00,1.042e-05,0.0006022499999999999,4.142e-05,2.65e-11,1.944e-05,3.28e-06,1.545e-06,,,,15min
2024-05-27 17:45:00,1.0435000000000001e-05,0.0006019,4.142e-05,2.8e-11,2.1175e-05,3.266e-06,1.565e-06,,,,15min
2024-05-27 18:00:00,1.037e-05,0.00060145,4.142e-05,2.8e-11,2.294e-05,3.2755000000000002e-06,1.565e-06,,,,15min
2024-05-27 18:15:00,1.026e-05,0.0006049499999999999,4.142e-05,2.85e-11,2.3015000000000002e-05,3.292e-06,1.565e-06,,,,15min
2024-05-27 18:30:00,1.044e-05,0.0006054,4.142e-05,2.9e-11,2.294e-05,3.444e-06,1.621e-06,,,,15min
2024-05-27 18:45:00,1.054e-05,0.0006053,4.142e-05,2.9e-11,2.449e-05,3.71e-06,1.621e-06,,,,15min
